sentiment_id,sentiment_label,sentiment_desc
1,Sangat Negatif,Ulasan sangat tidak puas
2,Negatif,Ulasan kurang puas
3,Netral,Ulasan netral
4,Positif,Ulasan puas
5,Sangat Positif,Ulasan sangat puas
6,Netral,Ulasan netral
7,Sangat Positif,Ulasan sangat puas
8,Negatif,Ulasan kurang puas
9,Positif,Ulasan puas
10,Sangat Negatif,Ulasan sangat tidak puas
11,Positif,Ulasan puas
12,Netral,Ulasan netral
13,Sangat Positif,Ulasan sangat puas
14,Negatif,Ulasan kurang puas
15,Sangat Negatif,Ulasan sangat tidak puas
16,Netral,Ulasan netral
17,Positif,Ulasan puas
18,Sangat Positif,Ulasan sangat puas
19,Negatif,Ulasan kurang puas
20,Sangat Negatif,Ulasan sangat tidak puas
21,Positif,Ulasan puas
22,Netral,Ulasan netral
23,Sangat Positif,Ulasan sangat puas
24,Sangat Negatif,Ulasan sangat tidak puas
25,Negatif,Ulasan kurang puas
26,Netral,Ulasan netral
27,Positif,Ulasan puas
28,Sangat Negatif,Ulasan sangat tidak puas
29,Sangat Positif,Ulasan sangat puas
30,Negatif,Ulasan kurang puas
31,Netral,Ulasan netral
32,Sangat Positif,Ulasan sangat puas
33,Positif,Ulasan puas
34,Negatif,Ulasan kurang puas
35,Sangat Negatif,Ulasan sangat tidak puas
36,Netral,Ulasan netral
37,Positif,Ulasan puas
38,Sangat Positif,Ulasan sangat puas
39,Sangat Negatif,Ulasan sangat tidak puas
40,Negatif,Ulasan kurang puas
41,Netral,Ulasan netral
42,Positif,Ulasan puas
43,Sangat Negatif,Ulasan sangat tidak puas
44,Sangat Positif,Ulasan sangat puas
45,Negatif,Ulasan kurang puas
46,Netral,Ulasan netral
47,Sangat Positif,Ulasan sangat puas
48,Positif,Ulasan puas
49,Sangat Negatif,Ulasan sangat tidak puas
50,Negatif,Ulasan kurang puas
51,Netral,Ulasan netral
52,Positif,Ulasan puas
53,Sangat Positif,Ulasan sangat puas
54,Negatif,Ulasan kurang puas
55,Sangat Negatif,Ulasan sangat tidak puas
56,Netral,Ulasan netral
57,Sangat Positif,Ulasan sangat puas
58,Positif,Ulasan puas
59,Negatif,Ulasan kurang puas
60,Sangat Negatif,Ulasan sangat tidak puas
61,Netral,Ulasan netral
62,Positif,Ulasan puas
63,Sangat Positif,Ulasan sangat puas
64,Sangat Negatif,Ulasan sangat tidak puas
65,Negatif,Ulasan kurang puas
66,Netral,Ulasan netral
67,Sangat Positif,Ulasan sangat puas
68,Positif,Ulasan puas
69,Negatif,Ulasan kurang puas
70,Sangat Negatif,Ulasan sangat tidak puas
71,Netral,Ulasan netral
72,Positif,Ulasan puas
73,Sangat Positif,Ulasan sangat puas
74,Sangat Negatif,Ulasan sangat tidak puas
75,Negatif,Ulasan kurang puas
76,Netral,Ulasan netral
77,Positif,Ulasan puas
78,Sangat Positif,Ulasan sangat puas
79,Negatif,Ulasan kurang puas
80,Sangat Negatif,Ulasan sangat tidak puas
81,Netral,Ulasan netral
82,Sangat Positif,Ulasan sangat puas
83,Positif,Ulasan puas
84,Sangat Negatif,Ulasan sangat tidak puas
85,Negatif,Ulasan kurang puas
86,Netral,Ulasan netral
87,Positif,Ulasan puas
88,Sangat Positif,Ulasan sangat puas
89,Sangat Negatif,Ulasan sangat tidak puas
90,Negatif,Ulasan kurang puas
91,Netral,Ulasan netral
92,Sangat Positif,Ulasan sangat puas
93,Positif,Ulasan puas
94,Negatif,Ulasan kurang puas
95,Sangat Negatif,Ulasan sangat tidak puas
96,Netral,Ulasan netral
97,Positif,Ulasan puas
98,Sangat Positif,Ulasan sangat puas
99,Negatif,Ulasan kurang puas
100,Sangat Negatif,Ulasan sangat tidak puas
